Hei, haluaisin palauttaa tämän tuotteen.	Hello, I would like to return this product.
Ostin tämän eilen ja se on viallinen.	I bought this yesterday and it is faulty.
Tässä on kuitti.	Here is the receipt.
Tuote ei toimi niin kuin sen pitäisi.	The product doesn't work as it should.
Haluaisin rahat takaisin, kiitos.	I would like a refund, please.
Onko mahdollista vaihtaa tämä uuteen?	Is it possible to exchange this for a new one?
Tämä laite lakkasi toimimasta tunnin käytön jälkeen.	This device stopped working after an hour of use.
Voinko puhua myymäläpäällikön kanssa?	Can I speak with the store manager?
Minulla on alkuperäinen pakkaus tallella.	I have the original packaging.
Tästä puuttuu osa.	A part is missing from this.
Akku ei lataudu ollenkaan.	The battery doesn't charge at all.
Tämän paidan sauma on purkautunut.	The seam on this shirt has come undone.
Odotin parempaa laatua tältä merkiltä.	I expected better quality from this brand.
Maksoin kortilla, voitteko palauttaa summan tililleni?	I paid by card, can you return the sum to my account?
Kenkä meni rikki ensimmäisellä käyttökerralla.	The shoe broke on the first use.
Voisitteko näyttää, miten tämä toimii? Ehkä teen jotain väärin.	Could you show me how this works? Maybe I'm doing something wrong.
Asiakaspalvelu puhelimessa kehotti minua tulemaan liikkeeseen.	The customer service on the phone advised me to come to the store.
Kuinka kauan hyvityksen saamisessa kestää?	How long does it take to receive the refund?
Tämä on selvä valmistusvirhe.	This is a clear manufacturing defect.
En halua lahjakorttia, haluan rahani takaisin.	I don't want a gift card, I want my money back.
Tämä ei ole ensimmäinen kerta, kun minulla on ongelmia tämän tuotteen kanssa.	This isn't the first time I've had problems with this product.
Valitettavasti kadotin kuitin, mutta minulla on tiliote.	Unfortunately I lost the receipt, but I have a bank statement.
Tuotteen väri haalistui ensimmäisessä pesussa.	The product's color faded in the first wash.
Tämä lelu on vaarallinen, siitä irtoaa pieniä osia.	This toy is dangerous, small parts come off it.
Laite ylikuumenee käytössä.	The device overheats during use.
Näyttöön tuli outo viiva.	A strange line appeared on the screen.
Ääni särisee, kun laitan äänenvoimakkuuden kovalle.	The sound distorts when I turn the volume up high.
Myyjä vakuutti minulle, että tämä on kestävä malli.	The salesperson assured me that this is a durable model.
Palautusoikeus on voimassa, eikö vain?	The return policy is valid, isn't it?
Haluan tehdä virallisen reklamaation.	I want to make a formal complaint.
Tämä kahvinkeitin vuotaa vettä.	This coffee maker leaks water.
Ohjekirja on puutteellinen.	The instruction manual is incomplete.
Voiko tuotteen lähettää huoltoon?	Can the product be sent for repair?
Kuinka kauan korjaus kestää?	How long will the repair take?
Sainko tilalle vastaavan tuotteen korjauksen ajaksi?	Can I get a replacement product for the duration of the repair?
Tämä on todella turhauttavaa.	This is very frustrating.
Ymmärrän, että ette ole henkilökohtaisesti vastuussa, mutta olen pettynyt tuotteeseen.	I understand you are not personally responsible, but I am disappointed in the product.
Voimmeko löytää ratkaisun tähän?	Can we find a solution to this?
Ostin tämän lahjaksi, ja se oli suuri pettymys.	I bought this as a gift, and it was a big disappointment.
Onko teillä toista samanlaista varastossa?	Do you have another one of the same in stock?
Hyväksyttekö palautuksen ilman pakkausta?	Do you accept a return without the packaging?
Tämä kutistui pesussa, vaikka seurasin pesuohjeita.	This shrank in the wash, even though I followed the washing instructions.
Takin vetoketju on rikki.	The jacket's zipper is broken.
Tietokone ei käynnisty ollenkaan.	The computer doesn't start at all.
Virtajohto on viallinen.	The power cord is faulty.
Olen yrittänyt soittaa teille, mutta en päässyt läpi.	I have tried to call you, but I couldn't get through.
Tuotekuvauksen mukaan tämän pitäisi olla vedenkestävä.	According to the product description, this should be waterproof.
Se ei kuitenkaan ole vedenkestävä.	However, it is not waterproof.
Haluaisin purkaa kaupan.	I would like to cancel the purchase.
Voinko saada rahani käteisenä?	Can I get my money in cash?
Tämä on ostettu alennusmyynnistä, mutta siinä on silti virhe.	This was bought from a sale, but it still has a defect.
Myyjä ei maininnut, että tämä on kakkoslaatua.	The salesperson did not mention that this is second quality.
Onko tämä yleinen ongelma tässä mallissa?	Is this a common problem with this model?
Haluan vain toimivan laitteen.	I just want a working device.
Kiitos ymmärryksestäsi.	Thank you for your understanding.
Tämä prosessi on ollut todella hankala.	This process has been really difficult.
Toivottavasti uusi tuote on parempi.	I hope the new product is better.
Voitteko tarkistaa takuun voimassaolon?	Can you check the warranty's validity?
Takuun pitäisi olla vielä voimassa.	The warranty should still be valid.
Tämä materiaali aiheutti minulle allergisen reaktion.	This material caused me an allergic reaction.
Pölynimurin imuteho on todella heikko.	The vacuum cleaner's suction power is very weak.
Sekoitin ei sekoita kunnolla.	The blender doesn't blend properly.
Paristot olivat jo tyhjät paketissa.	The batteries were already empty in the package.
Ohjelmisto kaatuilee jatkuvasti.	The software crashes constantly.
En suosittelisi tätä tuotetta kenellekään.	I would not recommend this product to anyone.
Voinko vaihtaa tämän eriväriseen?	Can I exchange this for a different color?
Tämä koko on väärä, vaikka etiketissä lukee oikein.	This size is wrong, even though the label says it's correct.
Verkkosivuillanne luvattiin helpompaa palautusta.	Your website promised an easier return process.
Olen pettynyt asiakaspalveluunne.	I am disappointed in your customer service.
Tämä oli viimeinen kerta, kun asioin täällä.	This was the last time I shop here.
Sain tämän lahjaksi, minulla ei ole kuittia.	I received this as a gift, I don't have a receipt.
Voitteko tarkistaa ostoksen lahjan antajan kortilta?	Can you check the purchase from the gift giver's card?
Puhelin kuumenee vaarallisen paljon.	The phone gets dangerously hot.
Kamera ei tarkenna kunnolla.	The camera doesn't focus properly.
Kaiuttimesta kuuluu jatkuvaa kohinaa.	There is constant static coming from the speaker.
Tämä ei ollut halpa tuote, odotan sen toimivan.	This was not a cheap product, I expect it to work.
Mitä vaihtoehtoja minulla on?	What options do I have?
Jos vaihdan tämän kalliimpaan, voinko maksaa erotuksen?	If I exchange this for a more expensive one, can I pay the difference?
Tämä on selkeästi ollut käytössä aiemmin.	This has clearly been used before.
Pakkaus oli sinetöimätön, kun ostin sen.	The package was unsealed when I bought it.
Onko teillä palautuslomaketta, joka minun pitää täyttää?	Do you have a return form that I need to fill out?
Selvä, odotan sitten rahojen palautumista tililleni.	Alright, I will wait for the money to be returned to my account.
Kiitos avustanne tämän selvittämisessä.	Thank you for your help in sorting this out.
Toivon, että otatte palautteeni vakavasti.	I hope you take my feedback seriously.
Voisitteko poistaa tämän tuotteen myynnistä?	Could you remove this product from sale?
Polkupyörän jarru ei toiminut.	The bicycle's brake did not work.
Kuulokkeiden toinen puoli on mykkä.	One side of the headphones is mute.
Kello jätättää jatkuvasti.	The watch is constantly slow.
Termospullo ei pidä lämpöä.	The thermos flask does not retain heat.
Reppu repesi saumasta.	The backpack tore at the seam.
Kirjan sivut olivat painettu väärin päin.	The book's pages were printed upside down.
Hiustenkuivaajasta tuli savua.	Smoke came from the hairdryer.
Tämä ei ole aitoa nahkaa, vaikka niin väitettiin.	This is not genuine leather, although it was claimed to be.
Onko palautuksille jokin aikaraja?	Is there a time limit for returns?
Olen todella pettynyt tähän ostokokemukseen.	I am really disappointed in this shopping experience.
Haluaisin vain, että asia hoidetaan kuntoon.	I would just like the matter to be resolved.
Voinko saada kirjallisen vahvistuksen palautuksesta?	Can I get a written confirmation of the return?
Teidän täytyy parantaa laadunvalvontaanne.	You need to improve your quality control.
Arvostan, että käsittelette tämän asian nopeasti.	I appreciate you handling this matter quickly.
Tulen uudelleen, jos uusi tuote on myös viallinen.	I will come again if the new product is also faulty.
Kiitos, että otitte tämän vakavasti.	Thank you for taking this seriously.
Oletan, että tämä ei aiheuta minulle kuluja.	I assume this will not cause me any costs.
Tämän ei pitäisi tapahtua näin kalliille tuotteelle.	This shouldn't happen to such an expensive product.
