Haluan peruuttaa uutiskirjeen tilauksen.	I want to unsubscribe from the newsletter.
Poista minut postituslistaltanne.	Remove me from your mailing list.
Älkää lähettäkö minulle enää sähköposteja.	Don't send me any more emails.
Mistä voin peruuttaa tilauksen?	Where can I unsubscribe?
Klikkaa tästä peruuttaaksesi tilauksen.	Click here to unsubscribe.
Vahvista tilauksen peruutus.	Confirm your unsubscription.
Oletko varma, että haluat peruuttaa tilauksen?	Are you sure you want to unsubscribe?
Miksi haluat peruuttaa tilauksen?	Why do you want to unsubscribe?
Tilauksesi on peruutettu onnistuneesti.	You have been successfully unsubscribed.
Olemme pahoillamme nähdessämme sinun lähtevän.	We are sorry to see you go.
Saan liian monta sähköpostia.	I receive too many emails.
Sähköpostien sisältö ei ole minulle relevanttia.	The content of the emails is not relevant to me.
En ole enää kiinnostunut.	I am no longer interested.
Tilasin uutiskirjeen vahingossa.	I subscribed to the newsletter by accident.
En muista tilanneeni tätä.	I don't remember subscribing to this.
Yritän siivota sähköpostilaatikkoani.	I am trying to clean up my email inbox.
Haluaisitko vastaanottaa sähköposteja harvemmin?	Would you prefer to receive emails less frequently?
Päivitä sähköpostiasetuksesi täällä.	Update your email preferences here.
Voit myös keskeyttää sähköpostien saannin väliaikaisesti.	You can also pause receiving emails temporarily.
Tilauksen peruutuspyyntösi on vastaanotettu.	Your request to unsubscribe has been received.
Voi kestää jopa 48 tuntia, ennen kuin muutokset astuvat voimaan.	It may take up to 48 hours for the changes to take effect.
Anna meille palautetta, jotta voimme parantaa palveluamme.	Please give us feedback so we can improve our service.
Tämä on viimeinen sähköposti, jonka saat meiltä.	This is the last email you will receive from us.
Voit aina tilata uutiskirjeemme uudelleen verkkosivuiltamme.	You can always subscribe to our newsletter again on our website.
En halua enää vastaanottaa markkinointiviestejä.	I no longer want to receive marketing messages.
Poista kaikki tietoni järjestelmästänne.	Please remove all my information from your system.
Tilauksen peruutuslinkki on sähköpostin alareunassa.	The unsubscribe link is at the bottom of the email.
En löydä tilauksen peruutuslinkkiä.	I can't find the unsubscribe link.
Tämä prosessi on liian monimutkainen.	This process is too complicated.
Haluan peruuttaa tilauksen yhdellä klikkauksella.	I want to unsubscribe with a single click.
Sähköpostiosoitteeni lisättiin listalle ilman lupaani.	My email address was added to the list without my permission.
Tämä on roskapostia.	This is spam.
Merkitsen tämän viestin roskapostiksi.	I am marking this message as spam.
Asetuksesi on päivitetty.	Your preferences have been updated.
Valitse syy tilauksen peruuttamiselle.	Please select a reason for unsubscribing.
Muu syy (täsmennä alla).	Other reason (please specify below).
Sähköpostit ovat liian myyntipainotteisia.	The emails are too sales-oriented.
Sisältö on toistuvaa.	The content is repetitive.
Tämä ei ole sitä, mitä odotin.	This is not what I expected.
Olen pahoillani, mutta minun täytyy peruuttaa tilaus.	I'm sorry, but I have to unsubscribe.
Kiitos ajastasi.	Thank you for your time.
Tilauksesi on nyt tauolla 30 päivää.	Your subscription is now paused for 30 days.
Voit jatkaa tilausta milloin tahansa.	You can resume your subscription at any time.
Kaipaamme sinua!	We will miss you!
Haluatko hallita sähköpostiasetuksiasi sen sijaan?	Do you want to manage your email preferences instead?
Saan sähköpostia liian usein.	I get emails too frequently.
Sähköpostien sisältö ei vastaa odotuksiani.	The content of the emails does not meet my expectations.
En enää käytä tätä sähköpostiosoitetta.	I no longer use this email address.
Vahvista sähköpostiosoitteesi peruuttaaksesi tilauksen.	Confirm your email address to unsubscribe.
Tilauksen peruuttamista ei voitu käsitellä. Yritä myöhemmin uudelleen.	The unsubscription could not be processed. Please try again later.
Ota yhteyttä tukeen, jos ongelma jatkuu.	Contact support if the problem persists.
Tilisi on poistettu onnistuneesti.	Your account has been successfully deleted.
Oletko varma? Menetät pääsyn eksklusiivisiin tarjouksiin.	Are you sure? You will lose access to exclusive offers.
Kyllä, peruuta tilaus.	Yes, unsubscribe.
Ei, haluan pysyä tilaajana.	No, I want to remain a subscriber.
Arvostamme, että olit tilaajamme.	We appreciate you being a subscriber.
Kiitos, että olit osa yhteisöämme.	Thank you for being part of our community.
Mielipiteesi on meille tärkeä.	Your opinion is important to us.
Sähköpostisi on poistettu postituslistaltamme.	Your email has been removed from our mailing list.
Toivottavasti näemme sinut vielä uudelleen.	We hope to see you again.
Tilauksen hallintasivu.	Subscription management page.
Haluaisin saada sähköpostia vain kerran viikossa.	I would like to receive emails only once a week.
Haluaisin saada sähköpostia vain kerran kuukaudessa.	I would like to receive emails only once a month.
Vähennä minulle lähetettävien sähköpostien määrää.	Reduce the number of emails you send me.
En koskaan avaa näitä sähköposteja.	I never open these emails.
Sähköpostit täyttävät postilaatikkoni.	The emails are cluttering my inbox.
Tilauksen peruuttaminen on tehty tarkoituksella vaikeaksi.	Unsubscribing is intentionally made difficult.
Kunnioittakaa pyyntöäni.	Please respect my request.
Tämä oli virhe. Älkää poistako tilaustani.	This was a mistake. Do not cancel my subscription.
Miten voin tilata uudelleen, jos muutan mieleni?	How can I re-subscribe if I change my mind?
En halunnut tilata tätä alunperinkään.	I never wanted to subscribe in the first place.
Joku muu on saattanut käyttää sähköpostiosoitettani.	Someone else might have used my email address.
Tilauksen peruutus on pysyvä.	The unsubscription is permanent.
Vastaanotan vain tärkeimmät tili-ilmoitukset.	I only want to receive essential account notifications.
Poista minut kaikilta markkinointilistoilta.	Remove me from all marketing lists.
Napsauta alla olevaa linkkiä vahvistaaksesi.	Click the link below to confirm.
Tämä sähköposti on lähetetty osoitteeseen [sähköpostiosoite].	This email was sent to [email address].
Etkö ole [nimi]?	Not [name]?
Sain tämän sähköpostin, koska olen kiinnostunut aiheesta.	I received this email because I am interested in the topic.
En ole enää kiinnostunut tästä tuotteesta/palvelusta.	I am no longer interested in this product/service.
Palaute on vapaaehtoista.	Feedback is optional.
Tilauksen peruutus onnistui.	Unsubscription successful.
Pahoittelut, jokin meni vikaan.	Sorry, something went wrong.
Pyyntöäsi käsitellään.	Your request is being processed.
Poistaminen listalta voi kestää muutaman arkipäivän.	Removal from the list may take a few business days.
Olet nyt peruuttanut uutiskirjeen.	You have now unsubscribed from the newsletter.
En halua enää vastaanottaa ilmoituksia.	I no longer wish to receive notifications.
Vähennän sähköpostieni määrää.	I am reducing the volume of my emails.
Tämä sähköposti ei ole hyödyllinen minulle.	This email is not useful to me.
Sain tarpeeksi informaatiota.	I have received enough information.
Haluan pitää postilaatikkoni siistinä.	I want to keep my inbox tidy.
Peruutan kaikkien tämän yrityksen lähettämien sähköpostien tilauksen.	I am unsubscribing from all emails sent by this company.
Teidän sähköpostinne eivät enää palvele minua.	Your emails no longer serve me.
Seuraan teitä mieluummin sosiaalisessa mediassa.	I prefer to follow you on social media.
Kiitos ymmärryksestä.	Thank you for your understanding.
Tämä linkki ei toimi.	This link does not work.
Voisitteko poistaa minut manuaalisesti?	Could you please remove me manually?
Vahvistus on lähetetty sähköpostiisi.	A confirmation has been sent to your email.
Viimeinen askel: vahvista peruutus.	Final step: confirm your unsubscription.
Olemme tehneet muutoksia pyyntösi mukaisesti.	We have made the changes according to your request.
Oletko varma, ettet halua kuulla uutuuksistamme?	Are you sure you don't want to hear about our new products?
