Mihin aikaan museo aukeaa?	What time does the museum open?
Mitä pääsylippu maksaa?	How much does the entrance ticket cost?
Kaksi aikuisten lippua, kiitos.	Two adult tickets, please.
Onko teillä opiskelija-alennusta?	Do you have a student discount?
Lapset pääsevät ilmaiseksi sisään.	Children get in for free.
Missä on narikka?	Where is the cloakroom?
Voinko jättää reppuni tänne?	Can I leave my backpack here?
Saako täällä valokuvata?	Is photography allowed here?
Valokuvaaminen ilman salamaa on sallittua.	Photography without a flash is allowed.
Haluaisin vuokrata ääniopastuksen.	I would like to rent an audio guide.
Onko opastettuja kierroksia saatavilla?	Are there guided tours available?
Mistä näyttely alkaa?	Where does the exhibition begin?
Tämä on todella vaikuttava maalaus.	This is a very impressive painting.
Kuka on tämän teoksen taiteilija?	Who is the artist of this piece?
Miltä vuosisadalta tämä esine on peräisin?	From which century does this artifact originate?
Tämä on pysyvä näyttely.	This is a permanent exhibition.
Erikoisnäyttely on toisessa kerroksessa.	The special exhibition is on the second floor.
Mitä mieltä olet tästä veistoksesta?	What do you think about this sculpture?
Nämä värit ovat uskomattomia.	These colors are incredible.
Teoksen nimi on "Auringonlasku".	The name of the piece is "Sunset".
Älkää koskeko taideteoksiin.	Do not touch the artworks.
Voisitko kertoa minulle lisää tästä kaudesta?	Could you tell me more about this period?
Tämä on todella ajatuksia herättävää.	This is very thought-provoking.
Vietetään hetki tässä huoneessa.	Let's spend a moment in this room.
Etsin suomalaisen taiteen osastoa.	I'm looking for the Finnish art section.
Missä on modernin taiteen galleria?	Where is the modern art gallery?
Tämä on suosikkitaiteilijani.	This is my favorite artist.
En ole koskaan nähnyt tätä ennen.	I have never seen this before.
Tekniikka on todella yksityiskohtainen.	The technique is very detailed.
Miten vanha tämä rakennus on?	How old is this building?
Museokauppa on uloskäynnin vieressä.	The museum shop is next to the exit.
Haluaisin ostaa näyttelyluettelon.	I would like to buy the exhibition catalogue.
Onko täällä kahvilaa?	Is there a café here?
Pidetään pieni tauko.	Let's take a short break.
Tämä näyttely oli todella mielenkiintoinen.	This exhibition was very interesting.
Opin tänään paljon uutta.	I learned a lot of new things today.
Kannatti ehdottomasti tulla käymään.	It was definitely worth visiting.
Milloin tämä näyttely päättyy?	When does this exhibition end?
Museo sulkeutuu tunnin kuluttua.	The museum closes in an hour.
Mennäänkö seuraavaksi tuonne?	Shall we go over there next?
Mikä on tämä materiaali?	What is this material?
Valaistus on todella hyvin tehty.	The lighting is very well done.
Tämä installaatio on valtava.	This installation is huge.
Abstrakti taide on joskus vaikeaselkoista.	Abstract art is sometimes difficult to understand.
Rakastan näitä maisemamaalauksia.	I love these landscape paintings.
Tämä muotokuva on kuin elävä.	This portrait is like it's alive.
Museon kokoelma on laaja.	The museum's collection is extensive.
Täällä on teoksia eri puolilta maailmaa.	There are works here from different parts of the world.
Tämä on osa yksityiskokoelmaa.	This is part of a private collection.
Onko tämä teos lainassa toisesta museosta?	Is this piece on loan from another museum?
Hiljaa, kiitos, opas puhuu.	Quiet, please, the guide is speaking.
Ryhmämme kokoontuu aulassa.	Our group will meet in the lobby.
Voitko ottaa minusta kuvan tämän maalauksen edessä?	Can you take a picture of me in front of this painting?
Akustiikka tässä salissa on upea.	The acoustics in this hall are magnificent.
Tämä esine löydettiin arkeologisilta kaivauksilta.	This object was found at an archaeological dig.
Tässä vitriinissä on vanhoja koruja.	In this display case, there are old pieces of jewelry.
Katsotaanpa tätä karttaa tarkemmin.	Let's take a closer look at this map.
Tämä interaktiivinen näyttö on lapsille hauska.	This interactive display is fun for children.
Saisinko museon esitteen?	May I have a museum brochure?
Maksutapoina käyvät kortti ja käteinen.	Payment methods accepted are card and cash.
Onko teillä vapaa pääsy tiettyinä päivinä?	Do you have free admission on certain days?
Museokortilla pääsee ilmaiseksi.	With the Museum Card, admission is free.
Tämä teos kuvaa historiallista tapahtumaa.	This work depicts a historical event.
Taiteilija on käyttänyt rohkeita siveltimenvetoja.	The artist has used bold brushstrokes.
Sommittelu on erittäin tasapainoinen.	The composition is very balanced.
Mitä symboliikkaa tähän liittyy?	What symbolism is associated with this?
Tämä on nykytaidetta.	This is contemporary art.
Taidan ostaa postikortin matkamuistoksi.	I think I'll buy a postcard as a souvenir.
Kiitos mielenkiintoisesta kierroksesta.	Thank you for the interesting tour.
Missä on lähin WC?	Where is the nearest restroom?
Tämä on yksi museon kuuluisimmista teoksista.	This is one of the museum's most famous works.
Galleria on omistettu valokuvataiteelle.	The gallery is dedicated to photographic art.
Tämä oli elämys.	This was an experience.
Suosittelen tätä museota kaikille.	I recommend this museum to everyone.
Tänne voisi tulla uudestaankin.	One could come here again.
Onko seuraava opastus suomeksi vai englanniksi?	Is the next guided tour in Finnish or English?
Näyttelyesineitä ei saa kopioida.	Copying the exhibits is not allowed.
Tämä huone on omistettu 1800-luvun taiteelle.	This room is dedicated to 19th-century art.
Esillä on myös luonnoksia ja piirroksia.	Sketches and drawings are also on display.
Konservointityö on ollut mittava.	The conservation work has been extensive.
Teos on entisöity huolellisesti.	The piece has been carefully restored.
Miten he saivat tämän tänne sisään?	How did they get this in here?
Taiteilijan elämä oli kiehtova.	The artist's life was fascinating.
Tämä tyyli on minulle entuudestaan tuntematon.	This style is previously unknown to me.
Tässä on jotain hyvin liikuttavaa.	There is something very moving in this.
Tunnelma on hyvin seesteinen.	The atmosphere is very serene.
Voimmeko istua hetkeksi tälle penkille?	Can we sit on this bench for a moment?
Minun täytyy sulatella tätä kaikkea.	I need to process all of this.
Tämä ylitti odotukseni.	This exceeded my expectations.
Lippujono on melko pitkä.	The ticket queue is quite long.
Olisi pitänyt ostaa liput etukäteen netistä.	We should have bought the tickets online beforehand.
Näyttely on jaettu teemoittain.	The exhibition is divided by themes.
Tämä on luonnonhistoriallinen museo.	This is a natural history museum.
Dinosaurus-skeletit ovat lasten suosikkeja.	The dinosaur skeletons are a favorite among children.
Tämä kertoo alueen historiasta.	This tells about the history of the region.
On mielenkiintoista nähdä vanhoja työkaluja.	It's interesting to see old tools.
Tämä keramiikka on hyvin säilynyttä.	This pottery is very well preserved.
Näyttely jatkuu portaita alas.	The exhibition continues down the stairs.
Uloskäynti on tuon oven kautta.	The exit is through that door.
Kiitos päivästä, oli todella mukavaa.	Thanks for the day, it was very nice.
